"filename", "language", "JavaScript", "SCSS", "XML", "CSS", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/commitment/commitment.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/contact/contact.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/contact/contact.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/donate/donate.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/donate/donate.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/gallery/gallery.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/gallery/gallery.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/get-inspired/get-inspired.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/get-inspired/get-inspired.scss", "SCSS", 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/get-involved/card/card.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/get-involved/card/card.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/get-involved/get-involved.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/get-involved/get-involved.scss", "SCSS", 0, 53, 0, 0, 0, 0, 0, 0, 7, 60
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/hero-links/hero-links.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/hero-links/hero-links.scss", "SCSS", 0, 68, 0, 0, 0, 0, 0, 2, 12, 82
